Country,EASTERN AFRICA,MIDDLE AFRICA,NORTHERN AFRICA,SOUTHERN AFRICA,WESTERN AFRICA,CENTRAL ASIA,EASTERN ASIA,SOUTH-EASTERN ASIA,SOUTHERN ASIA,WESTERN ASIA,EASTERN EUROPE,NORTHERN EUROPE,SOUTHERN EUROPE,WESTERN EUROPE,CARIBBEAN,CENTRAL AMERICA,SOUTH AMERICA,NORTHERN AMERICA,AUSTRALIA AND NEW ZEALAND,REST of OCEANIA,OTHERS,,
EASTERN AFRICA,5015761,1555293,855201,69786,18498,0,34683,1182,51713,26462,147,18197,5617,124854,43,0,0,5152,689,0,519455,,
MIDDLE AFRICA,493512,1715727,1102131,7473,584257,0,1693,0,0,3918,2698,352,9652,53723,528,0,0,3184,11,0,876135,,
NORTHERN AFRICA,2311007,247851,842371,1033,61013,4176,43890,43199,16524,916070,43264,31287,27592,94706,0,797,491,21496,1919,0,165354,,
SOUTHERN AFRICA,2031257,149942,5704,327271,43260,0,18978,4445,89426,4736,6643,66080,17522,41111,3461,261,4041,11704,4817,1609,79576,,
WESTERN AFRICA,6859,157831,60430,2120,7385357,2409,10779,1756,3420,14814,1615,2712,8466,27075,9880,391,6514,5740,49,1944,526668,,
CENTRAL ASIA,21,0,128,0,20,1151700,275672,121,30150,98246,2142301,7994,0,14147,20,0,0,993,107,0,188496,,
EASTERN ASIA,14814,6379,5860,6544,19042,102456,6165197,3540796,479691,16826,85145,64413,22255,65364,1159,5893,296016,256020,47120,0,358397,,
SOUTH-EASTERN ASIA,4227,0,745,0,0,0,1190008,7124955,1540777,17341,32,125889,283,64284,27,0,63,91186,28864,0,840912,,
SOUTHERN ASIA,4105,470,1023,3974,720,5230,354553,2115550,12035310,148830,792,71989,5675,4105,36,0,20097,82460,2521,108,1601988,,
WESTERN ASIA,829748,10544,5688665,19782,82335,455942,32680,2683867,19056306,15769803,1322922,168342,105658,682684,85,3338,79890,180223,7318,1,2031537,,
EASTERN EUROPE,2311,1076,24549,2222,4541,3603689,78794,67967,49340,1162988,11249822,573890,393054,402037,3591,2111,8713,86912,4881,60,923545,,
NORTHERN EUROPE,678234,20773,74454,272419,536739,26497,476393,562787,3036471,1002995,3482016,1801439,1155981,745669,152804,9397,174369,475102,197345,229,3660934,,
SOUTHERN EUROPE,187828,291493,2031431,29919,785193,52766,481543,251372,983942,406431,3341045,566068,3172688,1582538,514506,486353,4043371,225610,69571,776,615540,,
WESTERN EUROPE,621539,516356,3715249,40804,740220,896761,461003,622817,1688326,4090053,8612072,352512,5063248,2707360,162077,7761,555294,350995,460,15,5537457,,
CARIBBEAN,1057,200,351,248,1421,11,12253,6456,8003,2438,1532,23530,21858,140715,923380,14384,304485,234380,544,21,114659,,
CENTRAL AMERICA,167,4449,1630,521,4196,8,78090,5487,16997,9156,12757,13467,51457,37605,208957,1075965,618833,922249,1394,18,57277,,
SOUTH AMERICA,3782,18471,9716,3326,11987,633,196015,13192,19968,66541,30206,34215,653795,138344,432415,80649,10373324,141502,6152,288,343400,,
NORTHERN AMERICA,824896,83452,594180,214400,1011127,23049,6023977,5695950,6684848,1295469,1973105,1522811,1314507,1757249,7153912,15736610,4501186,1213014,37832,24028,3522275,,
AUSTRALIA AND NEW ZEALAND,187694,12328,72606,319559,38775,6563,1230801,1415388,1819132,387146,170243,1504033,481567,282747,6361,23537,257147,218010,677217,391284,77255,,
REST of OCEANIA,54,0,2639,0,0,0,17242,67704,6183,0,25,2392,637,73343,5292,0,0,28195,21679,71632,24754,,
OTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,